Emoji Sentiment Dictionary
Emoji,Unicode codepoint,Neg [0…1],Neut [0…1],Pos [0…1],Unicode name
😂,0x1f602,0.247,0.285,0.468,face with tears of joy
❤,0x2764,0.044,0.166,0.790,heavy black heart
♥,0x2665,0.035,0.272,0.693,black heart suit
😍,0x1f60d,0.052,0.219,0.729,smiling face with heart-shaped eyes
😭,0x1f62d,0.436,0.220,0.343,loudly crying face
😘,0x1f618,0.053,0.193,0.754,face throwing a kiss
😊,0x1f60a,0.060,0.237,0.704,smiling face with smiling eyes
👌,0x1f44c,0.094,0.249,0.657,ok hand sign
💕,0x1f495,0.042,0.285,0.674,two hearts
👏,0x1f44f,0.104,0.271,0.624,clapping hands sign
😁,0x1f601,0.127,0.296,0.577,grinning face with smiling eyes
☺,0x263a,0.062,0.218,0.720,white smiling face
♡,0x2661,0.052,0.227,0.721,white heart suit
👍,0x1f44d,0.115,0.248,0.637,thumbs up sign
😩,0x1f629,0.591,0.186,0.223,weary face
🙏,0x1f64f,0.081,0.421,0.498,person with folded hands
✌,0x270c,0.113,0.310,0.576,victory hand
😏,0x1f60f,0.112,0.444,0.444,smirking face
😉,0x1f609,0.100,0.337,0.563,winking face
🙌,0x1f64c,0.101,0.238,0.661,person raising both hands in celebration
🙈,0x1f648,0.164,0.241,0.596,see-no-evil monkey
💪,0x1f4aa,0.072,0.301,0.627,flexed biceps
😄,0x1f604,0.137,0.305,0.558,smiling face with open mouth and smiling eyes
😒,0x1f612,0.591,0.192,0.217,unamused face
💃,0x1f483,0.045,0.177,0.779,dancer
💖,0x1f496,0.043,0.201,0.755,sparkling heart
😃,0x1f603,0.072,0.299,0.629,smiling face with open mouth
😔,0x1f614,0.464,0.219,0.318,pensive face
😱,0x1f631,0.264,0.282,0.454,face screaming in fear
🎉,0x1f389,0.039,0.184,0.777,party popper
😜,0x1f61c,0.112,0.322,0.566,face with stuck-out tongue and winking eye
☯,0x262f,0.006,0.987,0.007,yin yang
🌸,0x1f338,0.040,0.270,0.690,cherry blossom
💜,0x1f49c,0.045,0.257,0.699,purple heart
💙,0x1f499,0.033,0.204,0.763,blue heart
✨,0x2728,0.052,0.545,0.403,sparkles
😳,0x1f633,0.327,0.327,0.345,flushed face
💗,0x1f497,0.051,0.241,0.708,growing heart
★,0x2605,0.031,0.655,0.314,black star
█,0x2588,0.090,0.853,0.057,full block
☀,0x2600,0.028,0.479,0.493,black sun with rays
😡,0x1f621,0.532,0.108,0.360,pouting face
😎,0x1f60e,0.106,0.297,0.597,smiling face with sunglasses
😢,0x1f622,0.384,0.225,0.391,crying face
💋,0x1f48b,0.039,0.231,0.730,kiss mark
😋,0x1f60b,0.046,0.277,0.677,face savouring delicious food
🙊,0x1f64a,0.135,0.272,0.593,speak-no-evil monkey
😴,0x1f634,0.422,0.237,0.341,sleeping face
🎶,0x1f3b6,0.097,0.270,0.634,multiple musical notes
💞,0x1f49e,0.041,0.180,0.780,revolving hearts
😌,0x1f60c,0.141,0.237,0.623,relieved face
🔥,0x1f525,0.124,0.613,0.263,fire
💯,0x1f4af,0.281,0.317,0.402,hundred points symbol
🔫,0x1f52b,0.493,0.209,0.298,pistol
💛,0x1f49b,0.043,0.205,0.752,yellow heart
💁,0x1f481,0.192,0.290,0.518,information desk person
💚,0x1f49a,0.078,0.189,0.733,green heart
♫,0x266b,0.063,0.586,0.351,beamed eighth notes
😞,0x1f61e,0.479,0.161,0.361,disappointed face
😆,0x1f606,0.155,0.281,0.564,smiling face with open mouth and tightly-closed eyes
😝,0x1f61d,0.132,0.313,0.555,face with stuck-out tongue and tightly-closed eyes
😪,0x1f62a,0.431,0.219,0.351,sleepy face
�,0xfffd,0.166,0.581,0.253,replacement character
😫,0x1f62b,0.485,0.174,0.340,tired face
😅,0x1f605,0.292,0.237,0.471,smiling face with open mouth and cold sweat
👊,0x1f44a,0.265,0.243,0.492,fisted hand sign
💀,0x1f480,0.468,0.270,0.261,skull
😀,0x1f600,0.086,0.260,0.654,grinning face
😚,0x1f61a,0.049,0.192,0.759,kissing face with closed eyes
😻,0x1f63b,0.069,0.243,0.688,smiling cat face with heart-shaped eyes
©,0xa9,0.131,0.621,0.248,copyright sign
👀,0x1f440,0.228,0.482,0.291,eyes
💘,0x1f498,0.048,0.221,0.731,heart with arrow
🐓,0x1f413,0.109,0.755,0.137,rooster
☕,0x2615,0.140,0.475,0.384,hot beverage
👋,0x1f44b,0.158,0.270,0.571,waving hand sign
✋,0x270b,0.328,0.218,0.454,raised hand
🎊,0x1f38a,0.057,0.164,0.779,confetti ball
🍕,0x1f355,0.056,0.470,0.473,slice of pizza
❄,0x2744,0.099,0.295,0.605,snowflake
😥,0x1f625,0.317,0.244,0.439,disappointed but relieved face
😕,0x1f615,0.601,0.195,0.204,confused face
💥,0x1f4a5,0.072,0.708,0.220,collision symbol
💔,0x1f494,0.414,0.293,0.293,broken heart
😤,0x1f624,0.479,0.252,0.270,face with look of triumph
😈,0x1f608,0.204,0.326,0.470,smiling face with horns
►,0x25ba,0.125,0.588,0.287,black right-pointing pointer
✈,0x2708,0.043,0.498,0.458,airplane
🔝,0x1f51d,0.088,0.350,0.562,top with upwards arrow above
😰,0x1f630,0.436,0.148,0.416,face with open mouth and cold sweat
⚽,0x26bd,0.053,0.278,0.669,soccer ball
😑,0x1f611,0.513,0.285,0.202,expressionless face
👑,0x1f451,0.043,0.219,0.738,crown
😹,0x1f639,0.299,0.262,0.440,cat face with tears of joy
👉,0x1f449,0.071,0.468,0.461,white right pointing backhand index
🍃,0x1f343,0.102,0.418,0.480,leaf fluttering in wind
🎁,0x1f381,0.041,0.158,0.801,wrapped present
😠,0x1f620,0.564,0.172,0.265,angry face
🐧,0x1f427,0.042,0.460,0.498,penguin
☆,0x2606,0.032,0.509,0.460,white star
🍀,0x1f340,0.025,0.665,0.310,four leaf clover
🎈,0x1f388,0.018,0.246,0.736,balloon
🎅,0x1f385,0.029,0.625,0.347,father christmas
😓,0x1f613,0.431,0.217,0.351,face with cold sweat
😣,0x1f623,0.540,0.131,0.328,persevering face
